No.,VarAddr,VarName,VarValue,Timestamp,KindofData,is_ConnectedWifi
28,D3002,TOTAL_CNT_TR2,2574,2024-01-29T10:05:05.802684,Counting,1
29,D3066,SILICON_PRESENCE_REJ_TR2,3,2024-01-29T10:05:05.810197,Checking,1
30,D4216,S9_OFF_SET_TR2,20.75,2024-01-29T10:05:05.825752,Setting,1
31,D3068,COVER_PRESENCE_REJ_TR2,10,2024-01-29T10:05:06.060329,Checking,1
32,D4224,S9_MINIMUM_HEIGHT_VALUE_TR2,20.8,2024-01-29T10:05:06.069866,Setting,1
33,M72,CC_LINK_COMMUNICATION_ERROR,0,2024-01-29T10:05:06.080218,Alarm,1
34,operationTimeRaw,operationTimeRaw,00:01:13,2024-01-29T10:05:06.092224,Counting,1
35,D3004,TOTAL_CNT_TR3,2584,2024-01-29T10:05:06.092224,Counting,1
36,M73,SET_BATCH_QTY_RECHED,0,2024-01-29T10:05:06.319061,Alarm,1
37,D3070,HEIGHT_CHK_REJ_TR2,5,2024-01-29T10:05:06.325107,Checking,1
38,D3006,TOTAL_CNT_TR4,2587,2024-01-29T10:05:06.338513,Counting,1
39,D4228,S9_MAXIMUM_HEIGHT_VALUE_TR2,21.4,2024-01-29T10:05:06.348055,Setting,1
40,D3018,errorProduct,129,2024-01-29T10:05:06.559920,Counting,1
41,D4416,S9_OFF_SET_TR4,20.98,2024-01-29T10:05:06.570314,Setting,1
42,M41,S1_HORZ_PICK_&_PLACE_SLIDE_NOT_REV,0,2024-01-29T10:05:06.581995,Alarm,1
43,D3072,LEAK_TEST_CHK_TR2,1,2024-01-29T10:05:06.592093,Checking,1
44,D3020,GOOD_CNT_TR1,2563,2024-01-29T10:05:06.636363,Counting,1
45,D4424,S9_HEIGHT_MINIMUM_VALUE_TR4,21.0,2024-01-29T10:05:06.645449,Setting,1
46,D3076,BOTTOM_CAP_REJ_TR3,5,2024-01-29T10:05:06.655971,Checking,1
47,M42,S1_SLING_PLATE_VERT_LIFT_CYL_NOT_DN_,0,2024-01-29T10:05:06.665245,Alarm,1
48,D3078,SILICON_PRESENCE_REJ_TR3,3,2024-01-29T10:05:06.840632,Checking,1
49,D4428,S9_MAXIMUM_HEIGHT_VALUE_TR4,21.32,2024-01-29T10:05:06.855369,Setting,1
50,D3022,GOOD_CNT_TR2,2555,2024-01-29T10:05:06.860379,Counting,1
51,M44,S2_HORZ_PICK_&_PLACE_CYL_NOT_REV,0,2024-01-29T10:05:06.874963,Alarm,1
52,operationTimeRaw,operationTimeRaw,00:01:14,2024-01-29T10:05:07.104676,Counting,1
53,M45,S2_SING_PLATE_VERT_LIFT_CYL_NOT_DN,0,2024-01-29T10:05:07.104676,Alarm,1
54,D3024,GOOD_CNT_TR3,2537,2024-01-29T10:05:07.110186,Counting,1
55,D3080,COVER_PRESENCE_REJ_TR3,19,2024-01-29T10:05:07.122170,Checking,1
56,M47,S3_SILICON_PRESSING_CYL_NOT_UP_TR1,0,2024-01-29T10:05:07.356821,Alarm,1
57,D3026,GOOD_CNT_TR4,2546,2024-01-29T10:05:07.360237,Counting,1
58,D3082,HEIGHT_CHK_REJ_TR3,4,2024-01-29T10:05:07.371920,Checking,1
59,D3084,LEAK_TEST_CHK_TR3,21,2024-01-29T10:05:07.572127,Checking,1
60,D3030,BAD_CNT_TR1,22,2024-01-29T10:05:07.582022,Counting,1
61,M48,S3_SILICON_PRESSING_CYL_NOT_UP_TR2,0,2024-01-29T10:05:07.591320,Alarm,1
0,M32,AIR_PRESSURE_LOW,1,2024-01-29T10:05:40.828165,Alarm,1
1,D4116,S8_OFF_SET_TR1,20.95,2024-01-29T10:05:40.837700,Setting,1
2,3,machineStatus,3,2024-01-29T10:05:40.842247,MachineStatus,1
3,D3050,BOTTOM_CAP_REJ_TR1,4,2024-01-29T10:05:40.844352,Checking,1
4,D936,JOB_MIN,84,2024-01-29T10:05:40.851673,Counting,1
5,M33,INDEX_MOTOR_OVERLOAD,0,2024-01-29T10:05:40.867839,Alarm,1
6,D4124,S8_MINIMUN_HEIGHT_VALUE_TR1,21.0,2024-01-29T10:05:41.095210,Setting,1
7,M34,MANUAL_CONTROL_NOT_ON,0,2024-01-29T10:05:41.101225,Alarm,1
8,D3012,goodProductRaw,10201,2024-01-29T10:05:41.116126,Counting,1
9,D3052,SILICON_PRESENCE_REJ_TR1,9,2024-01-29T10:05:41.123813,Checking,1
10,D3043,EFF,98.7,2024-01-29T10:05:41.339121,Counting,1
11,D3054,COVER_PRESENCE_REJ_TR1,7,2024-01-29T10:05:41.341134,Checking,1
12,M35,EMERGENCY_STOP_PREESD,0,2024-01-29T10:05:41.356884,Alarm,1
13,D4128,S8_MAXIMUM_HEIGHT_VALUE_TR1,21.32,2024-01-29T10:05:41.370984,Setting,1
14,D3056,HEIGHT_CHK_REJ_TR1,4,2024-01-29T10:05:41.433797,Checking,1
15,D3150,ACT_BATCH_CNT,99,2024-01-29T10:05:41.441170,Counting,1
16,M36,MANCHINE_IN_AUTO_MODE,0,2024-01-29T10:05:41.453421,Alarm,1
17,D4316,S8_OFF_SET_TR3,21.07,2024-01-29T10:05:41.460907,Setting,1
18,D3160,SET_BATCH_QTY,5050,2024-01-29T10:05:41.598589,Counting,1
19,D3058,LEAK_TEST_CHK_OK_TR1,2,2024-01-29T10:05:41.606152,Checking,1
20,operationTimeRaw,operationTimeRaw,00:01:16,2024-01-29T10:05:41.615097,Counting,1
21,M37,MANUAL_MODE_SELECTED,0,2024-01-29T10:05:41.619793,Alarm,1
22,D4324,S8_MINIMUM_HEIGHT_VALUE_TR3,21.0,2024-01-29T10:05:41.626679,Setting,1
23,M38,BOWL_FEEDER_SWITCH_NOT_ON,0,2024-01-29T10:05:41.844662,Alarm,1
24,D3000,TOTAL_CNT_TR1,2585,2024-01-29T10:05:41.851182,Counting,1
25,D4328,S8_MAXIMUM_HEIGHT_VALUE_TR3,21.3,2024-01-29T10:05:41.868464,Setting,1
26,D3064,BOTTOM_CAP_REJ_TR2,15,2024-01-29T10:05:41.875603,Checking,1
27,D3066,SILICON_PRESENCE_REJ_TR2,3,2024-01-29T10:05:42.101106,Checking,1
28,D4216,S9_OFF_SET_TR2,20.75,2024-01-29T10:05:42.111143,Setting,1
29,M39,LINEAR_FEEDER_SWITCH_NOT_ON,0,2024-01-29T10:05:42.122082,Alarm,1
30,D3002,TOTAL_CNT_TR2,2574,2024-01-29T10:05:42.131027,Counting,1
31,M72,CC_LINK_COMMUNICATION_ERROR,0,2024-01-29T10:05:42.324523,Alarm,1
32,D3068,COVER_PRESENCE_REJ_TR2,10,2024-01-29T10:05:42.331033,Checking,1
33,D3004,TOTAL_CNT_TR3,2584,2024-01-29T10:05:42.343325,Counting,1
34,D4224,S9_MINIMUM_HEIGHT_VALUE_TR2,20.8,2024-01-29T10:05:42.353369,Setting,1
35,D3006,TOTAL_CNT_TR4,2587,2024-01-29T10:05:42.550938,Counting,1
36,D3070,HEIGHT_CHK_REJ_TR2,5,2024-01-29T10:05:42.560947,Checking,1
37,D4228,S9_MAXIMUM_HEIGHT_VALUE_TR2,21.4,2024-01-29T10:05:42.570994,Setting,1
38,M73,SET_BATCH_QTY_RECHED,0,2024-01-29T10:05:42.581134,Alarm,1
39,operationTimeRaw,operationTimeRaw,00:01:17,2024-01-29T10:05:42.635250,Counting,1
40,M41,S1_HORZ_PICK_&_PLACE_SLIDE_NOT_REV,0,2024-01-29T10:05:42.794679,Alarm,1
41,D4416,S9_OFF_SET_TR4,20.98,2024-01-29T10:05:42.805217,Setting,1
42,D3018,errorProduct,129,2024-01-29T10:05:42.814752,Counting,1
43,D3072,LEAK_TEST_CHK_TR2,1,2024-01-29T10:05:42.824303,Checking,1
44,D3020,GOOD_CNT_TR1,2563,2024-01-29T10:05:43.043762,Counting,1
45,D4424,S9_HEIGHT_MINIMUM_VALUE_TR4,21.0,2024-01-29T10:05:43.056360,Setting,1
46,D3076,BOTTOM_CAP_REJ_TR3,5,2024-01-29T10:05:43.070472,Checking,1
47,M42,S1_SLING_PLATE_VERT_LIFT_CYL_NOT_DN_,0,2024-01-29T10:05:43.076343,Alarm,1
48,M44,S2_HORZ_PICK_&_PLACE_CYL_NOT_REV,0,2024-01-29T10:05:43.294184,Alarm,1
49,D3078,SILICON_PRESENCE_REJ_TR3,3,2024-01-29T10:05:43.306241,Checking,1
50,D3022,GOOD_CNT_TR2,2555,2024-01-29T10:05:43.319203,Counting,1
51,D4428,S9_MAXIMUM_HEIGHT_VALUE_TR4,21.32,2024-01-29T10:05:43.326051,Setting,1
52,M45,S2_SING_PLATE_VERT_LIFT_CYL_NOT_DN,0,2024-01-29T10:05:43.544691,Alarm,1
53,D3080,COVER_PRESENCE_REJ_TR3,19,2024-01-29T10:05:43.551209,Checking,1
54,D3024,GOOD_CNT_TR3,2537,2024-01-29T10:05:43.568934,Counting,1
55,operationTimeRaw,operationTimeRaw,00:01:18,2024-01-29T10:05:43.649380,Counting,1
56,D3026,GOOD_CNT_TR4,2546,2024-01-29T10:05:43.782288,Counting,1
57,D3082,HEIGHT_CHK_REJ_TR3,4,2024-01-29T10:05:43.791308,Checking,1
58,M47,S3_SILICON_PRESSING_CYL_NOT_UP_TR1,0,2024-01-29T10:05:43.803532,Alarm,1
59,M48,S3_SILICON_PRESSING_CYL_NOT_UP_TR2,0,2024-01-29T10:05:44.031156,Alarm,1
60,D3084,LEAK_TEST_CHK_TR3,21,2024-01-29T10:05:44.041216,Checking,1
61,D3030,BAD_CNT_TR1,22,2024-01-29T10:05:44.052716,Counting,1
62,M49,S3_SILICON_PRESSING_CYL_NOT_UP_TR3,0,2024-01-29T10:05:44.232678,Alarm,1
63,D3032,BAD_CNT_TR2,19,2024-01-29T10:05:44.243195,Counting,1
64,D3088,BOTTOM_CAL_REJ_TR4,2,2024-01-29T10:05:44.253428,Checking,1
65,M50,S3_SILICON_PRESSING_CYL_NOT_UP_TR4,0,2024-01-29T10:05:44.291084,Alarm,1
66,D3090,SILICON_PRESENCE_REJ_TR4,3,2024-01-29T10:05:44.306981,Checking,1
67,D3034,BAD_CNT_TR3,47,2024-01-29T10:05:44.316632,Counting,1
68,D3036,BAD_CNT_TR4,41,2024-01-29T10:05:44.531425,Counting,1
69,D3092,COVER_PRESENCE_REJ_TR4,14,2024-01-29T10:05:44.531425,Checking,1
70,M52,S4_HORZ_PICK_&_PLACE_SLIDE_NOT_REV,0,2024-01-29T10:05:44.551359,Alarm,1
71,operationTimeRaw,operationTimeRaw,00:01:19,2024-01-29T10:05:44.671351,Counting,1
72,M53,S4_SING_PLATE_VERT_LIFT_CYL_NOT_UP,0,2024-01-29T10:05:44.754828,Alarm,1
73,D3039,productCount,10330,2024-01-29T10:05:44.765360,Counting,1
74,D3094,HEIGHT_CHK_REJ_TR4,23,2024-01-29T10:05:44.774871,Checking,1
75,M55,S5_VERT_SLIDE_NOT_DN,0,2024-01-29T10:05:44.996913,Alarm,1
76,D3096,LEAK_TEST_CHK_TR4,1,2024-01-29T10:05:45.006489,Checking,1
77,D3150,ACT_BATCH_CNT,99,2024-01-29T10:05:45.019656,Counting,1
78,D3160,SET_BATCH_QTY,5050,2024-01-29T10:05:45.233011,Counting,1
79,M57,S6_SUPPORT_CYL_NOT_DN_TR2,0,2024-01-29T10:05:45.252619,Alarm,1
80,M58,S6_SUPPORT_CYL_NOT_DN_TR4,0,2024-01-29T10:05:45.466369,Alarm,1
81,D4120,S8_TOTAL_HEIGHT_TR1,21.19,2024-01-29T10:05:45.487464,Counting,1
82,operationTimeRaw,operationTimeRaw,00:01:20,2024-01-29T10:05:45.701402,Counting,1
83,M60,S6_WELDING_UNIT_NOT_READY,0,2024-01-29T10:05:45.719665,Alarm,1
84,D4320,S8_TOTAL_HEIGHT_TR3,21.17,2024-01-29T10:05:45.738935,Counting,1
85,D4220,S9_TOTAL_HEIGHT_TR2,21.17,2024-01-29T10:05:45.947295,Counting,1
86,M59,S6_WELDING_MC_ALARM,0,2024-01-29T10:05:45.968797,Alarm,1
87,M62,S7_SUPPORT_CYL_NOT_DN_TR1,0,2024-01-29T10:05:46.185380,Alarm,1
88,D4420,S9_TOTAL_HEIGHT_TR4,21.2,2024-01-29T10:05:46.208069,Counting,1
89,M63,S7_SUPPORT_CYL_NOT_DN_TR3,0,2024-01-29T10:05:46.431310,Alarm,1
90,M64,S7_WELDING_MC_ALARM,0,2024-01-29T10:05:46.652425,Alarm,1
91,operationTimeRaw,operationTimeRaw,00:01:21,2024-01-29T10:05:46.719612,Counting,1
92,M65,S7_WELDING_UNIT_NOT_READY,0,2024-01-29T10:05:46.851226,Alarm,1
